Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
FAM134C	ENST00000309428.5	family with sequence similarity 134, member C 	397	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.09	-0.09	N/A	2007, 2009, 2011
TCTEX1D1	ENST00000282670.2	Tctex1 domain containing 1 	20	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.09	-0.24	N/A	2007, 2009, 2011
CRNKL1	ENST00000377327.4	crooked neck pre-mRNA splicing factor 1 	519	1	0	1	0	0	0	0	0	2	hsa-miR-335-5p	-0.09	-0.30	N/A	2009, 2011
ALDOA	ENST00000569798.1	aldolase A, fructose-bisphosphate 	21644	1	0	0	1	1	0	1	0	0	hsa-miR-335-5p	-0.09	-0.22	N/A	
NAA50	ENST00000240922.3	N(alpha)-acetyltransferase 50, NatE catalytic subunit 	260	1	0	1	0	3	0	3	0	1	hsa-miR-335-5p	-0.09	-0.20	N/A	2007, 2011
RLIM	ENST00000332687.6	ring finger protein, LIM domain interacting 	662	1	0	1	0	1	0	0	1	1	hsa-miR-335-5p	-0.09	-0.09	N/A	2011
EIF4EBP2	ENST00000373218.4	eukaryotic translation initiation factor 4E binding protein 2 	690	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.09	-0.14	N/A	2011
DDI2	ENST00000480945.1	DNA-damage inducible 1 homolog 2 (S. cerevisiae) 	357	1	0	1	0	1	0	0	1	1	hsa-miR-335-5p	-0.08	-0.10	N/A	
RPE	ENST00000429907.1	ribulose-5-phosphate-3-epimerase 	333	1	0	0	1	0	0	0	0	1	hsa-miR-335-5p	-0.08	-0.08	N/A	
SOGA3	ENST00000556132.1	SOGA family member 3 	95	1	1	0	0	1	0	1	0	0	hsa-miR-335-5p	-0.08	-0.10	N/A	
PPP1R3A	ENST00000284601.3	protein phosphatase 1, regulatory subunit 3A 	5	1	0	0	1	0	0	0	0	2	hsa-miR-335-5p	-0.08	-0.08	N/A	2007
NFYB	ENST00000240055.3	nuclear transcription factor Y, beta 	375	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.08	-0.30	N/A	2009, 2011
POLR3H	ENST00000396504.2	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD) 	216	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.08	-0.08	N/A	2007
MOSPD1	ENST00000370783.3	motile sperm domain containing 1 	83	1	0	0	1	1	0	0	1	0	hsa-miR-335-5p	-0.08	-0.12	N/A	2007, 2011
MTMR4	ENST00000579925.1	myotubularin related protein 4 	150	1	1	0	0	1	0	1	0	0	hsa-miR-335-5p	-0.08	-0.08	N/A	
KDM2B	ENST00000536437.1	lysine (K)-specific demethylase 2B 	647	1	0	1	0	1	0	0	1	0	hsa-miR-335-5p	-0.08	-0.20	N/A	2007
DCUN1D3	ENST00000324344.4	DCN1, defective in cullin neddylation 1, domain containing 3 	53	1	0	1	0	3	0	1	2	1	hsa-miR-335-5p	-0.08	-0.13	N/A	2007
CRKL	ENST00000354336.3	v-crk avian sarcoma virus CT10 oncogene homolog-like 	2142	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.08	-0.08	N/A	2007, 2009, 2011
EIF3J	ENST00000261868.5	eukaryotic translation initiation factor 3, subunit J 	1646	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.08	-0.13	N/A	
LCOR	ENST00000371103.3	ligand dependent nuclear receptor corepressor 	94	1	0	1	0	1	0	0	1	4	hsa-miR-335-5p	-0.08	-0.08	N/A	2011
DOK6	ENST00000382713.5	docking protein 6 	8	1	0	1	0	0	0	0	0	3	hsa-miR-335-5p	-0.07	-0.07	N/A	2011
SCRT1	ENST00000332135.4	scratch homolog 1, zinc finger protein (Drosophila) 	5	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	-0.07	-0.07	N/A	
BTLA	ENST00000334529.5	B and T lymphocyte associated 	5	1	0	0	1	1	0	0	1	1	hsa-miR-335-5p	-0.07	-0.13	N/A	
CNNM2	ENST00000369878.4	cyclin M2 	517	1	1	0	0	4	1	2	1	0	hsa-miR-335-5p	-0.07	-0.19	N/A	
PGF	ENST00000555567.1	placental growth factor 	1745	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	-0.07	-0.07	N/A	2007, 2009, 2011
AP3B1	ENST00000255194.6	adaptor-related protein complex 3, beta 1 subunit 	180	1	0	0	1	1	0	0	1	0	hsa-miR-335-5p	-0.07	-0.07	N/A	
EYA3	ENST00000373871.3	eyes absent homolog 3 (Drosophila) 	50	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.07	-0.07	N/A	2011
GOSR1	ENST00000225724.5	golgi SNAP receptor complex member 1 	668	1	0	0	1	1	0	0	1	1	hsa-miR-335-5p	-0.06	-0.11	N/A	2011
FAM107B	ENST00000378470.1	family with sequence similarity 107, member B 	403	1	0	1	0	1	0	0	1	0	hsa-miR-335-5p	-0.06	-0.45	N/A	2007, 2009, 2011
TRIM67	ENST00000444294.3	tripartite motif containing 67 	41	1	0	1	0	3	0	3	0	1	hsa-miR-335-5p	-0.06	-0.09	N/A	2011
RYBP	ENST00000477973.2	RING1 and YY1 binding protein 	342	1	0	0	1	2	1	1	0	0	hsa-miR-335-5p	-0.06	-0.20	N/A	2007
KCNK5	ENST00000359534.3	potassium channel, subfamily K, member 5 	143	1	0	1	0	1	1	0	0	1	hsa-miR-335-5p	-0.06	-0.10	N/A	
GPR156	ENST00000464295.1	G protein-coupled receptor 156 	12	1	1	0	0	1	0	1	0	0	hsa-miR-335-5p	-0.06	-0.34	N/A	
BSN	ENST00000296452.4	bassoon presynaptic cytomatrix protein 	31	1	1	0	0	1	1	0	0	2	hsa-miR-335-5p	-0.06	-0.06	N/A	2011
CHFR	ENST00000315585.7	checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase 	168	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.06	-0.34	N/A	2007, 2009, 2011
CDH11	ENST00000394156.3	cadherin 11, type 2, OB-cadherin (osteoblast) 	448	1	0	0	1	2	0	1	1	2	hsa-miR-335-5p	-0.06	-0.09	N/A	2007, 2009, 2011
C4orf46	ENST00000508457.1	chromosome 4 open reading frame 46 	128	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	-0.06	-0.06	N/A	
NAA40	ENST00000377793.4	N(alpha)-acetyltransferase 40, NatD catalytic subunit 	217	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.05	-0.08	N/A	
RRAGD	ENST00000369415.4	Ras-related GTP binding D 	644	1	0	0	1	0	0	0	0	2	hsa-miR-335-5p	-0.05	-0.05	N/A	
ZBTB10	ENST00000430430.1	zinc finger and BTB domain containing 10 	113	1	0	0	1	1	0	0	1	2	hsa-miR-335-5p	-0.05	-0.06	N/A	
FMN1	ENST00000334528.9	formin 1 	25	1	0	1	0	3	1	0	2	1	hsa-miR-335-5p	-0.05	-0.11	N/A	2011
SP1	ENST00000426431.2	Sp1 transcription factor 	402	1	1	0	0	0	0	0	0	2	hsa-miR-335-5p	-0.05	-0.11	N/A	2007, 2009, 2011
ZBTB8B	ENST00000609129.1	zinc finger and BTB domain containing 8B 	18	1	0	0	1	3	0	2	1	4	hsa-miR-335-5p	-0.05	-0.06	N/A	2011
CRTAP	ENST00000320954.6	cartilage associated protein 	3154	1	0	0	1	1	0	0	1	4	hsa-miR-335-5p	-0.05	-0.06	N/A	2011
MUC19	ENST00000454784.4	mucin 19, oligomeric 	5	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.04	-0.04	N/A	
MON2	ENST00000546600.1	MON2 homolog (S. cerevisiae) 	784	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.04	-0.13	N/A	2009, 2011
GSTO2	ENST00000369707.2	glutathione S-transferase omega 2 	97	1	1	0	0	0	0	0	0	4	hsa-miR-335-5p	-0.04	-0.08	N/A	
ENPEP	ENST00000265162.5	glutamyl aminopeptidase (aminopeptidase A) 	10	1	0	0	1	1	0	0	1	1	hsa-miR-335-5p	-0.04	-0.06	N/A	2009, 2011
PCNX	ENST00000304743.2	pecanex homolog (Drosophila) 	458	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.04	-0.05	N/A	2007, 2009, 2011
ARHGEF37	ENST00000333677.6	Rho guanine nucleotide exchange factor (GEF) 37 	5	1	1	0	0	1	0	0	1	0	hsa-miR-335-5p	-0.04	-0.04	N/A	2011
MLLT3	ENST00000380338.4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 	385	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	-0.04	-0.05	N/A	2007
CERS5	ENST00000317551.6	ceramide synthase 5 	86	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.04	-0.32	N/A	2007, 2009, 2011
HCFC2	ENST00000229330.4	host cell factor C2 	46	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	-0.04	-0.06	N/A	
PLEKHA8	ENST00000449726.1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8 	661	1	1	0	0	1	0	0	1	2	hsa-miR-335-5p	-0.04	-0.04	N/A	2011
NPAS4	ENST00000311034.2	neuronal PAS domain protein 4 	5	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.04	-0.04	N/A	2007, 2009, 2011
RBM12	ENST00000374114.3	RNA binding motif protein 12 	431	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.04	-0.04	N/A	2009, 2011
MAP3K2	ENST00000409947.1	mitogen-activated protein kinase kinase kinase 2 	187	1	0	0	1	1	0	1	0	3	hsa-miR-335-5p	-0.04	-0.04	N/A	2007, 2009, 2011
SRSF10	ENST00000343255.5	serine/arginine-rich splicing factor 10 	1920	1	0	0	1	0	0	0	0	4	hsa-miR-335-5p	-0.04	-0.04	N/A	
ZNF532	ENST00000336078.4	zinc finger protein 532 	5	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.03	-0.03	N/A	2009, 2011
MLX	ENST00000435881.2	MLX, MAX dimerization protein 	771	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.03	-0.12	N/A	2007
ZNF641	ENST00000301042.3	zinc finger protein 641 	87	1	0	0	1	3	2	0	1	5	hsa-miR-335-5p	-0.03	-0.16	N/A	
ATP1B1	ENST00000367816.1	ATPase, Na+/K+ transporting, beta 1 polypeptide 	656	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.03	-0.20	N/A	2007, 2009, 2011
NPFFR1	ENST00000277942.6	neuropeptide FF receptor 1 	5	1	0	0	1	1	0	1	0	1	hsa-miR-335-5p	-0.03	-0.03	N/A	
ALPK3	ENST00000258888.5	alpha-kinase 3 	16	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.03	-0.03	N/A	
FAT3	ENST00000298047.6	FAT atypical cadherin 3 	30	1	1	0	0	0	0	0	0	2	hsa-miR-335-5p	-0.03	-0.03	N/A	2009, 2011
DCX	ENST00000356915.2	doublecortin 	5	1	0	1	0	1	0	0	1	4	hsa-miR-335-5p	-0.03	-0.03	N/A	2009, 2011
SELK	ENST00000541726.1	Selenoprotein K  	400	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.03	-0.68	N/A	
LSAMP	ENST00000490035.2	limbic system-associated membrane protein 	19	1	0	1	0	0	0	0	0	3	hsa-miR-335-5p	-0.03	-0.11	N/A	2011
PGR	ENST00000325455.5	progesterone receptor 	8	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.03	-0.04	N/A	2009, 2011
CEP350	ENST00000367607.3	centrosomal protein 350kDa 	705	1	1	0	0	0	0	0	0	2	hsa-miR-335-5p	-0.03	-0.03	N/A	2007, 2009, 2011
KLF7	ENST00000423015.1	Kruppel-like factor 7 (ubiquitous) 	737	1	0	1	0	0	0	0	0	3	hsa-miR-335-5p	-0.03	-0.03	N/A	
SPATA2	ENST00000289431.5	spermatogenesis associated 2 	358	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.03	-0.18	N/A	2011
GUCY1A2	ENST00000526355.2	guanylate cyclase 1, soluble, alpha 2 	24	1	1	0	0	1	0	1	0	4	hsa-miR-335-5p	-0.02	-0.12	N/A	
TSPAN6	ENST00000373020.4	tetraspanin 6 	885	1	0	0	1	0	0	0	0	1	hsa-miR-335-5p	-0.02	-0.08	N/A	2011
HPCAL4	ENST00000372844.3	hippocalcin like 4 	5	1	0	0	1	1	0	0	1	2	hsa-miR-335-5p	-0.02	-0.02	N/A	2007, 2011
GPR75	ENST00000394705.2	G protein-coupled receptor 75 	35	1	0	0	1	0	0	0	0	1	hsa-miR-335-5p	-0.02	-0.03	N/A	
PRKD1	ENST00000331968.5	protein kinase D1 	75	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	-0.02	-0.06	N/A	2007, 2011
SMG1	ENST00000446231.2	SMG1 phosphatidylinositol 3-kinase-related kinase 	339	1	1	0	0	0	0	0	0	1	hsa-miR-335-5p	-0.02	-0.03	N/A	2009, 2011
ZNF592	ENST00000299927.3	zinc finger protein 592 	1128	1	0	1	0	0	0	0	0	2	hsa-miR-335-5p	-0.02	-0.03	N/A	2007, 2009, 2011
RCC2	ENST00000375436.4	regulator of chromosome condensation 2 	180	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	-0.02	-0.02	N/A	
GSPT1	ENST00000434724.2	G1 to S phase transition 1 	1119	1	0	1	0	1	0	0	1	0	hsa-miR-335-5p	-0.02	-0.12	N/A	2011
FAM168A	ENST00000064778.4	family with sequence similarity 168, member A 	68	1	0	1	0	0	0	0	0	2	hsa-miR-335-5p	-0.02	-0.03	N/A	
HOXD12	ENST00000404162.2	homeobox D12 	6	1	1	0	0	1	0	0	1	1	hsa-miR-335-5p	-0.02	-0.15	N/A	
PTPRB	ENST00000334414.6	protein tyrosine phosphatase, receptor type, B 	42	1	1	0	0	2	0	1	1	1	hsa-miR-335-5p	-0.02	-0.08	N/A	2009, 2011
ZNF500	ENST00000219478.6	zinc finger protein 500 	14	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.02	-0.05	N/A	
FAM78A	ENST00000372269.3	family with sequence similarity 78, member A 	7	1	0	0	1	1	0	0	1	1	hsa-miR-335-5p	-0.02	-0.02	N/A	2007, 2009, 2011
ELFN2	ENST00000402918.2	extracellular leucine-rich repeat and fibronectin type III domain containing 2 	22	1	1	0	0	1	0	1	0	1	hsa-miR-335-5p	-0.02	-0.05	N/A	2007, 2009, 2011
ERBB4	ENST00000342788.4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 	27	1	0	1	0	0	0	0	0	2	hsa-miR-335-5p	-0.02	-0.02	N/A	2009, 2011
CDK13	ENST00000181839.4	cyclin-dependent kinase 13 	32	1	0	0	1	1	0	0	1	2	hsa-miR-335-5p	-0.01	-0.02	N/A	2007, 2011
ZBTB40	ENST00000404138.1	zinc finger and BTB domain containing 40 	124	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.01	-0.03	N/A	2009, 2011
PDCD7	ENST00000204549.4	programmed cell death 7 	64	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	-0.01	-0.01	N/A	2011
LARP4B	ENST00000316157.3	La ribonucleoprotein domain family, member 4B 	705	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	-0.01	-0.01	N/A	
KLF12	ENST00000377669.2	Kruppel-like factor 12 	251	1	0	0	1	0	0	0	0	3	hsa-miR-335-5p	-0.01	-0.01	N/A	2009, 2011
MYO1D	ENST00000318217.5	myosin ID 	16	1	0	0	1	0	0	0	0	1	hsa-miR-335-5p	-0.01	-0.01	N/A	2007, 2009, 2011
SEPT7	ENST00000435235.1	septin 7 	97	1	0	0	1	0	0	0	0	1	hsa-miR-335-5p	-0.01	-0.01	N/A	2007
ILF2	ENST00000361891.4	interleukin enhancer binding factor 2 	5746	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	-0.01	-0.18	N/A	
SLC8A1	ENST00000406785.2	solute carrier family 8 (sodium/calcium exchanger), member 1 	61	1	0	0	1	3	0	0	3	5	hsa-miR-335-5p	-0.01	-0.10	N/A	
PTPMT1	ENST00000426530.2	protein tyrosine phosphatase, mitochondrial 1 	6893	1	1	0	0	0	0	0	0	2	hsa-miR-335-5p	-0.01	-0.43	N/A	2011
TACO1	ENST00000258975.6	translational activator of mitochondrially encoded cytochrome c oxidase I 	755	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.01	-0.28	N/A	
RBFOX2	ENST00000449924.2	RNA binding protein, fox-1 homolog (C. elegans) 2 	262	1	1	0	0	1	0	1	0	1	hsa-miR-335-5p	-0.01	-0.22	N/A	2007, 2009, 2011
TMEM136	ENST00000529187.1	transmembrane protein 136 	344	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	-0.01	-0.26	N/A	2011
ACVR1C	ENST00000243349.8	activin A receptor, type IC 	27	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	-0.01	-0.01	N/A	2009, 2011
OTUD7B	ENST00000369135.4	OTU domain containing 7B 	299	1	1	0	0	1	0	1	0	1	hsa-miR-335-5p	-0.01	-0.05	N/A	
PRKACA	ENST00000308677.4	protein kinase, cAMP-dependent, catalytic, alpha 	12	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	-0.01	-0.01	N/A	2007
TRIM13	ENST00000378182.3	tripartite motif containing 13 	139	2	0	2	0	1	0	0	1	1	hsa-miR-335-5p	-0.01	-0.10	N/A	2007
RAB3C	ENST00000282878.4	RAB3C, member RAS oncogene family 	242	1	0	1	0	0	0	0	0	2	hsa-miR-335-5p	-0.01	-0.08	N/A	
MPLKIP	ENST00000306984.6	M-phase specific PLK1 interacting protein 	32	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	0	-0.01	N/A	
OBFC1	ENST00000224950.3	oligonucleotide/oligosaccharide-binding fold containing 1 	184	1	1	0	0	0	0	0	0	2	hsa-miR-335-5p	0	-0.17	N/A	2011
TPR	ENST00000367478.4	translocated promoter region, nuclear basket protein 	529	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	0	-0.09	N/A	
SRCAP	ENST00000262518.4	Snf2-related CREBBP activator protein 	643	1	0	1	0	0	0	0	0	3	hsa-miR-335-5p	0	-0.04	N/A	
AHSA2	ENST00000394457.3	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast) 	820	2	0	2	0	0	0	0	0	0	hsa-miR-335-5p	0	-0.22	N/A	
PSMB5	ENST00000493471.2	proteasome (prosome, macropain) subunit, beta type, 5 	156	2	0	0	2	0	0	0	0	1	hsa-miR-335-5p	0	-0.02	N/A	
SIK2	ENST00000304987.3	salt-inducible kinase 2 	378	1	0	0	1	0	0	0	0	1	hsa-miR-335-5p	0	-0.05	N/A	
HIC2	ENST00000407464.2	hypermethylated in cancer 2 	28	1	0	0	1	0	0	0	0	2	hsa-miR-335-5p	0	-0.01	N/A	2007, 2009, 2011
ITGB3BP	ENST00000371092.3	integrin beta 3 binding protein (beta3-endonexin) 	1136	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	0	-0.03	N/A	
NCAPD3	ENST00000534548.2	non-SMC condensin II complex, subunit D3 	990	1	1	0	0	1	1	0	0	0	hsa-miR-335-5p	0	-0.06	N/A	
BNC2	ENST00000380672.4	basonuclin 2 	770	1	1	0	0	0	0	0	0	3	hsa-miR-335-5p	0	-0.05	N/A	2009, 2011
BAG2	ENST00000370693.5	BCL2-associated athanogene 2 	2237	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	0	-0.28	N/A	
SETD9	ENST00000285947.2	SET domain containing 9 	45	1	0	0	1	0	0	0	0	0	hsa-miR-335-5p	0	-0.01	N/A	
OPN1MW2	ENST00000369929.4	opsin 1 (cone pigments), medium-wave-sensitive 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	0	-0.35	N/A	
OPN1MW	ENST00000369935.5	opsin 1 (cone pigments), medium-wave-sensitive 	5	1	1	0	0	0	0	0	0	0	hsa-miR-335-5p	0	-0.35	N/A	2011
DGCR14	ENST00000252137.6	DiGeorge syndrome critical region gene 14 	269	1	0	0	1	1	0	0	1	1	hsa-miR-335-5p	0	-0.02	N/A	2007
EIF2B3	ENST00000360403.2	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa 	901	1	0	0	1	0	0	0	0	1	hsa-miR-335-5p	0	-0.09	N/A	
GABRB1	ENST00000295454.3	gamma-aminobutyric acid (GABA) A receptor, beta 1 	5	1	0	1	0	3	0	1	2	1	hsa-miR-335-5p	0	-0.14	N/A	
CISD2	ENST00000273986.4	CDGSH iron sulfur domain 2 	13	1	1	0	0	1	0	0	1	1	hsa-miR-335-5p	0	-0.22	N/A	2011
TMEM59	ENST00000371348.1	transmembrane protein 59 	5104	1	1	0	0	3	0	2	1	3	hsa-miR-335-5p	0	-0.58	N/A	
WDR13	ENST00000218056.5	WD repeat domain 13 	1128	1	0	1	0	1	0	0	1	0	hsa-miR-335-5p	0	-0.03	N/A	
WT1	ENST00000379079.2	Wilms tumor 1 	29	1	0	1	0	0	0	0	0	1	hsa-miR-335-5p	0	-0.10	N/A	
METTL24	ENST00000338882.4	methyltransferase like 24 	5	1	0	1	0	0	0	0	0	0	hsa-miR-335-5p	0	-0.02	N/A	
