Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
LRRC8E	ENST00000306708.6	leucine rich repeat containing 8 family, member E 	399	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
SLC2A14	ENST00000340749.5	solute carrier family 2 (facilitated glucose transporter), member 14 	14	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
ACAN	ENST00000439576.2	aggrecan 	165	1	1	0	0	0	hsa-miR-126-5p	-0.09	-0.11	N/A
NCAN	ENST00000252575.6	neurocan 	5	3	1	1	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
DKFZP434H0512	ENST00000600140.1	Protein LOC100506667; Putative uncharacterized protein DKFZp434H0512  	5	3	0	0	3	1	hsa-miR-126-5p	-0.09	-0.09	N/A
DIO3	ENST00000510508.4	deiodinase, iodothyronine, type III 	7	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
ZBTB8B	ENST00000609129.1	zinc finger and BTB domain containing 8B 	18	7	2	1	4	1	hsa-miR-126-5p	-0.09	-0.12	N/A
C7orf31	ENST00000409280.1	chromosome 7 open reading frame 31 	40	2	0	0	2	1	hsa-miR-126-5p	-0.09	-0.15	N/A
RAB33B	ENST00000305626.5	RAB33B, member RAS oncogene family 	270	2	0	1	1	1	hsa-miR-126-5p	-0.09	-0.12	N/A
RGS7BP	ENST00000334025.2	regulator of G-protein signaling 7 binding protein 	5	4	2	1	1	2	hsa-miR-126-5p	-0.09	-0.30	N/A
C8orf34	ENST00000337103.4	chromosome 8 open reading frame 34 	38	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.12	N/A
LONRF2	ENST00000393437.3	LON peptidase N-terminal domain and ring finger 2 	394	4	2	2	0	5	hsa-miR-126-5p	-0.09	-0.10	N/A
DUSP28	ENST00000405954.1	dual specificity phosphatase 28 	84	1	1	0	0	1	hsa-miR-126-5p	-0.09	-0.13	N/A
KLHL9	ENST00000359039.4	kelch-like family member 9 	222	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.10	N/A
HECA	ENST00000367658.2	headcase homolog (Drosophila) 	783	2	0	1	1	3	hsa-miR-126-5p	-0.09	-0.09	N/A
NPEPPS	ENST00000322157.4	aminopeptidase puromycin sensitive 	2194	2	1	0	1	1	hsa-miR-126-5p	-0.09	-0.12	N/A
LRRC19	ENST00000380055.5	leucine rich repeat containing 19 	5	3	0	1	2	1	hsa-miR-126-5p	-0.09	-0.09	N/A
GOLGA8J	ENST00000341650.6	golgin A8 family, member J 	0	3	0	1	2	3	hsa-miR-126-5p	-0.09	-0.09	N/A
ACTR1B	ENST00000289228.5	ARP1 actin-related protein 1 homolog B, centractin beta (yeast) 	5716	1	0	1	0	1	hsa-miR-126-5p	-0.09	-0.09	N/A
LIPN	ENST00000404459.1	lipase, family member N 	0	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
NUBPL	ENST00000281081.7	nucleotide binding protein-like 	7	3	0	0	3	0	hsa-miR-126-5p	-0.09	-0.09	N/A
C18orf63	ENST00000579455.1	chromosome 18 open reading frame 63 	5	1	0	0	1	4	hsa-miR-126-5p	-0.09	-0.09	N/A
PAK1IP1	ENST00000379568.3	PAK1 interacting protein 1 	135	2	0	0	2	1	hsa-miR-126-5p	-0.09	-0.17	N/A
PAX4	ENST00000338516.3	paired box 4 	5	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
VSTM2B	ENST00000335523.7	V-set and transmembrane domain containing 2B 	17	1	0	0	1	2	hsa-miR-126-5p	-0.09	-0.11	N/A
KCTD16	ENST00000507359.3	potassium channel tetramerization domain containing 16 	36	8	1	4	3	7	hsa-miR-126-5p	-0.09	-0.29	N/A
C21orf91	ENST00000400558.3	chromosome 21 open reading frame 91 	998	2	1	1	0	1	hsa-miR-126-5p	-0.09	-0.11	N/A
GNG2	ENST00000556752.1	guanine nucleotide binding protein (G protein), gamma 2 	199	1	1	0	0	1	hsa-miR-126-5p	-0.09	-0.14	N/A
NHLRC2	ENST00000369301.3	NHL repeat containing 2 	368	5	3	0	2	4	hsa-miR-126-5p	-0.09	-0.11	N/A
CCDC13	ENST00000310232.6	coiled-coil domain containing 13 	5	1	1	0	0	0	hsa-miR-126-5p	-0.09	-0.09	N/A
GBP7	ENST00000294671.2	guanylate binding protein 7 	5	1	0	1	0	0	hsa-miR-126-5p	-0.09	-0.09	N/A
GSTCD	ENST00000515279.1	glutathione S-transferase, C-terminal domain containing 	411	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
PPP1R2	ENST00000328432.3	protein phosphatase 1, regulatory (inhibitor) subunit 2 	8	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
FAM198B	ENST00000585682.1	family with sequence similarity 198, member B 	25	3	2	1	0	3	hsa-miR-126-5p	-0.09	-0.09	N/A
AL353791.1	ENST00000426179.1		5	2	0	2	0	1	hsa-miR-126-5p	-0.09	-0.09	N/A
SCN7A	ENST00000409855.1	sodium channel, voltage-gated, type VII, alpha subunit 	5	2	0	1	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
FAM200B	ENST00000422728.2	family with sequence similarity 200, member B 	213	2	0	1	1	0	hsa-miR-126-5p	-0.09	-0.14	N/A
USP51	ENST00000500968.3	ubiquitin specific peptidase 51 	26	2	0	0	2	2	hsa-miR-126-5p	-0.09	-0.09	N/A
SASS6	ENST00000287482.5	spindle assembly 6 homolog (C. elegans) 	796	2	0	1	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
UGCG	ENST00000374279.3	UDP-glucose ceramide glucosyltransferase 	1200	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.10	N/A
WBP5	ENST00000372661.3	WW domain binding protein 5 	32	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.15	N/A
MREG	ENST00000263268.6	melanoregulin 	95	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.14	N/A
INPP4A	ENST00000409016.4	inositol polyphosphate-4-phosphatase, type I, 107kDa 	387	1	0	0	1	2	hsa-miR-126-5p	-0.09	-0.09	N/A
L3HYPDH	ENST00000247194.4	L-3-hydroxyproline dehydratase (trans-) 	236	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.10	N/A
NIP7	ENST00000254940.5	NIP7, nucleolar pre-rRNA processing protein 	659	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.11	N/A
TGFBR1	ENST00000374994.4	transforming growth factor, beta receptor 1 	249	5	1	3	1	1	hsa-miR-126-5p	-0.09	-0.10	N/A
ZSCAN31	ENST00000439158.1	zinc finger and SCAN domain containing 31 	43	2	0	0	2	0	hsa-miR-126-5p	-0.09	-0.10	N/A
NFS1	ENST00000374092.4	NFS1 cysteine desulfurase 	629	1	0	1	0	2	hsa-miR-126-5p	-0.09	-0.10	N/A
ZNF865	ENST00000568956.1	zinc finger protein 865 	75	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
SESN1	ENST00000436639.2	sestrin 1 	96	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
BRD8	ENST00000254900.5	bromodomain containing 8 	5	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
LPPR1	ENST00000374874.3	Lipid phosphate phosphatase-related protein type 1  	19	1	1	0	0	0	hsa-miR-126-5p	-0.09	-0.09	N/A
ALPPL2	ENST00000295453.3	alkaline phosphatase, placental-like 2 	5	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
C12orf23	ENST00000548125.1	chromosome 12 open reading frame 23 	602	3	1	2	0	3	hsa-miR-126-5p	-0.09	-0.33	N/A
EIF2A	ENST00000460851.1	eukaryotic translation initiation factor 2A, 65kDa 	3166	1	0	1	0	0	hsa-miR-126-5p	-0.09	-0.09	N/A
MID1IP1	ENST00000336949.6	MID1 interacting protein 1 	356	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
SLC30A6	ENST00000282587.5	solute carrier family 30 (zinc transporter), member 6 	711	2	0	1	1	2	hsa-miR-126-5p	-0.09	-0.20	N/A
GOLGA8K	ENST00000512626.2	golgin A8 family, member K 	0	3	0	1	2	3	hsa-miR-126-5p	-0.09	-0.09	N/A
HINT1	ENST00000304043.5	histidine triad nucleotide binding protein 1 	15834	1	0	1	0	3	hsa-miR-126-5p	-0.09	-0.28	N/A
ANKRD34B	ENST00000338682.3	ankyrin repeat domain 34B 	5	2	0	1	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
HGF	ENST00000222390.5	hepatocyte growth factor (hepapoietin A; scatter factor) 	18	1	0	1	0	3	hsa-miR-126-5p	-0.09	-0.09	N/A
SKIDA1	ENST00000449193.2	SKI/DACH domain containing 1 	18	2	0	1	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
SUCLG2	ENST00000307227.5	succinate-CoA ligase, GDP-forming, beta subunit 	88	2	0	1	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
TLR3	ENST00000296795.3	toll-like receptor 3 	5	1	0	1	0	2	hsa-miR-126-5p	-0.09	-0.09	N/A
SLC17A9	ENST00000370351.4	solute carrier family 17 (vesicular nucleotide transporter), member 9 	504	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
ZNF544	ENST00000599227.1	zinc finger protein 544 	173	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
RDH11	ENST00000381346.4	retinol dehydrogenase 11 (all-trans/9-cis/11-cis) 	1177	1	1	0	0	1	hsa-miR-126-5p	-0.09	-0.09	N/A
TEP1	ENST00000262715.5	telomerase-associated protein 1 	39	3	1	2	0	1	hsa-miR-126-5p	-0.09	-0.11	N/A
MIPOL1	ENST00000327441.7	mirror-image polydactyly 1 	45	7	5	1	1	5	hsa-miR-126-5p	-0.09	-0.87	N/A
FAR2	ENST00000536681.3	fatty acyl CoA reductase 2 	193	4	2	2	0	2	hsa-miR-126-5p	-0.09	-0.15	N/A
CPED1	ENST00000310396.5	cadherin-like and PC-esterase domain containing 1 	77	5	2	1	2	1	hsa-miR-126-5p	-0.09	-0.27	N/A
ST8SIA3	ENST00000324000.3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 	5	4	2	1	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
LRRC55	ENST00000497933.1	leucine rich repeat containing 55 	5	1	1	0	0	0	hsa-miR-126-5p	-0.09	-0.09	N/A
NSUN7	ENST00000316607.5	NOP2/Sun domain family, member 7 	9	1	0	1	0	1	hsa-miR-126-5p	-0.09	-0.09	N/A
SNX22	ENST00000325881.4	sorting nexin 22 	5	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
TNFSF15	ENST00000374045.4	tumor necrosis factor (ligand) superfamily, member 15 	29	2	0	0	2	0	hsa-miR-126-5p	-0.09	-0.09	N/A
NFIA	ENST00000403491.3	nuclear factor I/A 	5	3	3	0	0	0	hsa-miR-126-5p	-0.09	-0.09	N/A
ASB5	ENST00000296525.3	ankyrin repeat and SOCS box containing 5 	5	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
PPP1R1C	ENST00000409137.3	protein phosphatase 1, regulatory (inhibitor) subunit 1C 	5	3	0	3	0	2	hsa-miR-126-5p	-0.09	-0.09	N/A
PLIN5	ENST00000381848.3	perilipin 5 	125	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
MEMO1	ENST00000295065.5	mediator of cell motility 1 	89	2	0	1	1	4	hsa-miR-126-5p	-0.09	-0.27	N/A
NDUFB5	ENST00000493866.1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa 	5395	2	0	1	1	1	hsa-miR-126-5p	-0.09	-0.26	N/A
STON2	ENST00000267540.2	stonin 2 	40	2	2	0	0	4	hsa-miR-126-5p	-0.09	-0.11	N/A
KLF9	ENST00000377126.2	Kruppel-like factor 9 	20	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.16	N/A
CEP120	ENST00000306467.5	centrosomal protein 120kDa 	261	3	0	0	3	3	hsa-miR-126-5p	-0.09	-0.22	N/A
RALGPS2	ENST00000367635.3	Ral GEF with PH domain and SH3 binding motif 2 	201	4	0	2	2	6	hsa-miR-126-5p	-0.09	-0.10	N/A
MSH2	ENST00000233146.2	mutS homolog 2 	1468	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
SYNPO2	ENST00000429713.2	synaptopodin 2 	105	4	2	2	0	4	hsa-miR-126-5p	-0.09	-0.10	N/A
AL645728.1	ENST00000366221.2	Uncharacterized protein  	8	1	1	0	0	1	hsa-miR-126-5p	-0.09	-0.22	N/A
VGLL3	ENST00000398399.2	vestigial like 3 (Drosophila) 	187	4	1	1	2	6	hsa-miR-126-5p	-0.09	-0.11	N/A
RIMS1	ENST00000348717.5	regulating synaptic membrane exocytosis 1 	45	4	0	2	2	1	hsa-miR-126-5p	-0.09	-0.15	N/A
LAYN	ENST00000525126.1	layilin 	175	3	0	2	1	0	hsa-miR-126-5p	-0.09	-0.15	N/A
CR1	ENST00000367052.1	complement component (3b/4b) receptor 1 (Knops blood group) 	5	2	1	0	1	1	hsa-miR-126-5p	-0.09	-0.12	N/A
SLC6A2	ENST00000219833.8	solute carrier family 6 (neurotransmitter transporter), member 2 	5	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
XXbac-BPG32J3.20	ENST00000461287.1		1251	1	0	1	0	0	hsa-miR-126-5p	-0.09	-0.09	N/A
RXFP1	ENST00000307765.5	relaxin/insulin-like family peptide receptor 1 	5	2	1	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
HBP1	ENST00000222574.4	HMG-box transcription factor 1 	167	2	2	0	0	0	hsa-miR-126-5p	-0.09	-0.09	N/A
HMGCLL1	ENST00000274901.4	3-hydroxymethyl-3-methylglutaryl-CoA lyase-like 1 	11	2	1	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
THNSL1	ENST00000524413.1	threonine synthase-like 1 (S. cerevisiae) 	140	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
PKIB	ENST00000258014.3	protein kinase (cAMP-dependent, catalytic) inhibitor beta 	545	2	0	0	2	0	hsa-miR-126-5p	-0.09	-0.17	N/A
FAM83B	ENST00000306858.7	family with sequence similarity 83, member B 	140	2	0	0	2	5	hsa-miR-126-5p	-0.09	-0.09	N/A
QRSL1	ENST00000369046.4	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1 	53	4	1	1	2	1	hsa-miR-126-5p	-0.09	-0.15	N/A
FOXA1	ENST00000250448.2	forkhead box A1 	249	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
MKI67IP	ENST00000285814.4	MKI67 (FHA domain) interacting nucleolar phosphoprotein 	215	1	0	0	1	2	hsa-miR-126-5p	-0.09	-0.15	N/A
POLR2D	ENST00000272645.4	polymerase (RNA) II (DNA directed) polypeptide D 	530	2	0	0	2	0	hsa-miR-126-5p	-0.09	-0.09	N/A
REEP3	ENST00000373758.4	receptor accessory protein 3 	1095	2	1	1	0	1	hsa-miR-126-5p	-0.09	-0.11	N/A
TMPRSS11E	ENST00000305363.4	transmembrane protease, serine 11E 	5	1	0	1	0	0	hsa-miR-126-5p	-0.09	-0.09	N/A
CCDC81	ENST00000528728.1	coiled-coil domain containing 81 	107	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
XK	ENST00000378616.3	X-linked Kx blood group (McLeod syndrome) 	39	2	0	0	2	1	hsa-miR-126-5p	-0.09	-0.09	N/A
HRH1	ENST00000397056.1	histamine receptor H1 	130	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
LTA	ENST00000454783.1	lymphotoxin alpha 	5	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
C11orf63	ENST00000531316.1	chromosome 11 open reading frame 63 	38	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
ADK	ENST00000372734.3	adenosine kinase 	1098	1	0	1	0	2	hsa-miR-126-5p	-0.09	-0.12	N/A
ZC3H8	ENST00000409573.2	zinc finger CCCH-type containing 8 	216	2	0	0	2	2	hsa-miR-126-5p	-0.09	-0.24	N/A
TES	ENST00000358204.4	testis derived transcript (3 LIM domains) 	34	1	0	1	0	1	hsa-miR-126-5p	-0.09	-0.12	N/A
GOLGB1	ENST00000340645.5	golgin B1 	162	2	0	1	1	0	hsa-miR-126-5p	-0.09	-0.16	N/A
SCD	ENST00000370355.2	stearoyl-CoA desaturase (delta-9-desaturase) 	9726	1	1	0	0	4	hsa-miR-126-5p	-0.09	-0.09	N/A
DIRC2	ENST00000261038.5	disrupted in renal carcinoma 2 	1041	2	1	0	1	1	hsa-miR-126-5p	-0.09	-0.15	N/A
LDB1	ENST00000361198.5	LIM domain binding 1 	61	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
SGPP1	ENST00000247225.6	sphingosine-1-phosphate phosphatase 1 	1340	3	1	1	1	2	hsa-miR-126-5p	-0.09	-0.09	N/A
AC023632.1	ENST00000391679.1	HCG2009141; PRO2397; Uncharacterized protein  	5	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
CEPT1	ENST00000545121.1	choline/ethanolamine phosphotransferase 1 	148	2	0	1	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
ZNF536	ENST00000355537.3	zinc finger protein 536 	5	2	0	1	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
CTD-2162K18.4	ENST00000590750.1	Uncharacterized protein  	51	2	2	0	0	1	hsa-miR-126-5p	-0.09	-0.41	N/A
PA2G4	ENST00000303305.6	proliferation-associated 2G4, 38kDa 	64	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
GPR82	ENST00000302548.4	G protein-coupled receptor 82 	5	2	0	0	2	2	hsa-miR-126-5p	-0.09	-0.09	N/A
BCL2L2	ENST00000250405.5	BCL2-like 2 	1380	2	0	2	0	0	hsa-miR-126-5p	-0.09	-0.11	N/A
PIK3C2G	ENST00000433979.1	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 gamma 	5	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
C18orf25	ENST00000282059.6	chromosome 18 open reading frame 25 	688	2	0	0	2	3	hsa-miR-126-5p	-0.09	-0.11	N/A
PPM1B	ENST00000409432.3	protein phosphatase, Mg2+/Mn2+ dependent, 1B 	321	1	0	1	0	1	hsa-miR-126-5p	-0.09	-0.10	N/A
GATA2	ENST00000341105.2	GATA binding protein 2 	231	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
SLC39A8	ENST00000394833.2	solute carrier family 39 (zinc transporter), member 8 	228	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
FMN2	ENST00000319653.9	formin 2 	22	2	0	0	2	0	hsa-miR-126-5p	-0.09	-0.13	N/A
ZBTB38	ENST00000514251.1	zinc finger and BTB domain containing 38 	1270	2	1	1	0	3	hsa-miR-126-5p	-0.09	-0.09	N/A
E2F6	ENST00000362009.4	E2F transcription factor 6 	70	1	1	0	0	3	hsa-miR-126-5p	-0.09	-0.09	N/A
ST8SIA1	ENST00000396037.4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 	5	4	1	2	1	2	hsa-miR-126-5p	-0.09	-0.09	N/A
SCRG1	ENST00000296506.3	stimulator of chondrogenesis 1 	5	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
RP11-57H12.6	ENST00000604534.1	TMEM56-RWDD3 protein  	49	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
FAM184B	ENST00000265018.3	family with sequence similarity 184, member B 	22	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.09	N/A
GABRG1	ENST00000295452.4	gamma-aminobutyric acid (GABA) A receptor, gamma 1 	5	1	0	1	0	3	hsa-miR-126-5p	-0.09	-0.09	N/A
FAM111A	ENST00000528737.1	family with sequence similarity 111, member A 	5	2	1	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
NFAT5	ENST00000354436.2	nuclear factor of activated T-cells 5, tonicity-responsive 	128	7	1	2	4	4	hsa-miR-126-5p	-0.09	-0.18	N/A
KIF7	ENST00000394412.3	kinesin family member 7 	13	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.10	N/A
CHAC2	ENST00000295304.4	ChaC, cation transport regulator homolog 2 (E. coli) 	126	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
TASP1	ENST00000337743.4	taspase, threonine aspartase, 1 	58	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.17	N/A
ZNF610	ENST00000601151.1	zinc finger protein 610 	13	1	0	0	1	1	hsa-miR-126-5p	-0.09	-0.11	N/A
PKIA	ENST00000396418.2	protein kinase (cAMP-dependent, catalytic) inhibitor alpha 	542	7	0	3	4	4	hsa-miR-126-5p	-0.09	-0.50	N/A
BTN3A2	ENST00000396948.1	butyrophilin, subfamily 3, member A2 	5	3	0	2	1	0	hsa-miR-126-5p	-0.09	-0.12	N/A
ARX	ENST00000379044.4	aristaless related homeobox 	5	1	0	0	1	0	hsa-miR-126-5p	-0.09	-0.09	N/A
ANKRD45	ENST00000333279.2	ankyrin repeat domain 45 	10	2	0	1	1	1	hsa-miR-126-5p	-0.09	-0.15	N/A
CCDC36	ENST00000438782.1	coiled-coil domain containing 36 	5	1	1	0	0	0	hsa-miR-126-5p	-0.09	-0.09	N/A
DENND1B	ENST00000235453.4	DENN/MADD domain containing 1B 	6	1	0	1	0	0	hsa-miR-126-5p	-0.09	-0.09	N/A
TMEM200C	ENST00000581347.2	transmembrane protein 200C 	54	13	5	6	2	7	hsa-miR-126-5p	-0.08	-0.46	N/A
TOB2	ENST00000327492.3	transducer of ERBB2, 2 	71	1	0	0	1	1	hsa-miR-126-5p	-0.08	-0.11	N/A
CKS1B	ENST00000308987.5	CDC28 protein kinase regulatory subunit 1B 	186	2	0	0	2	0	hsa-miR-126-5p	-0.08	-0.10	N/A
PNPLA8	ENST00000426128.2	patatin-like phospholipase domain containing 8 	60	3	0	1	2	2	hsa-miR-126-5p	-0.08	-0.27	N/A
FAM175B	ENST00000298492.5	family with sequence similarity 175, member B 	525	1	1	0	0	3	hsa-miR-126-5p	-0.08	-0.09	N/A
FAM185A	ENST00000409231.3	family with sequence similarity 185, member A 	67	1	0	0	1	0	hsa-miR-126-5p	-0.08	-0.09	N/A
NMNAT3	ENST00000511444.1	nicotinamide nucleotide adenylyltransferase 3 	12	1	0	0	1	1	hsa-miR-126-5p	-0.08	-0.16	N/A
C11orf54	ENST00000528288.1	chromosome 11 open reading frame 54 	47	2	0	0	2	3	hsa-miR-126-5p	-0.08	-0.16	N/A
TGDS	ENST00000261296.5	TDP-glucose 4,6-dehydratase 	7	2	0	1	1	1	hsa-miR-126-5p	-0.08	-0.08	N/A
PHF21A	ENST00000257821.4	PHD finger protein 21A 	301	1	0	0	1	0	hsa-miR-126-5p	-0.08	-0.08	N/A
DYM	ENST00000442713.2	dymeclin 	547	1	0	0	1	1	hsa-miR-126-5p	-0.08	-0.08	N/A
GOLGA6L9	ENST00000300515.8	golgin A6 family-like 9 	5	1	0	0	1	2	hsa-miR-126-5p	-0.08	-0.08	N/A
CTAGE4	ENST00000486333.1	CTAGE family, member 4 	5	1	0	0	1	0	hsa-miR-126-5p	-0.08	-0.08	N/A
MXRA5	ENST00000217939.6	matrix-remodelling associated 5 	5	2	0	0	2	1	hsa-miR-126-5p	-0.08	-0.08	N/A
CDKN2D	ENST00000393599.2	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4) 	186	1	0	1	0	0	hsa-miR-126-5p	-0.08	-0.08	N/A
IL18R1	ENST00000409599.1	interleukin 18 receptor 1 	40	2	0	1	1	2	hsa-miR-126-5p	-0.08	-0.08	N/A
BMP6	ENST00000283147.6	bone morphogenetic protein 6 	1070	2	0	1	1	1	hsa-miR-126-5p	-0.08	-0.08	N/A
ZFAND5	ENST00000237937.3	zinc finger, AN1-type domain 5 	2522	5	2	1	2	4	hsa-miR-126-5p	-0.08	-0.19	N/A
ZNF333	ENST00000292530.6	zinc finger protein 333 	72	2	1	0	1	1	hsa-miR-126-5p	-0.08	-0.11	N/A
LYPLAL1	ENST00000366928.5	lysophospholipase-like 1 	28	2	1	0	1	0	hsa-miR-126-5p	-0.08	-0.23	N/A
ZCWPW2	ENST00000383768.2	zinc finger, CW type with PWWP domain 2 	10	1	0	1	0	2	hsa-miR-126-5p	-0.08	-0.14	N/A
TTC33	ENST00000337702.4	tetratricopeptide repeat domain 33 	676	5	0	1	4	3	hsa-miR-126-5p	-0.08	-0.36	N/A
CNTN5	ENST00000524871.1	contactin 5 	5	1	0	0	1	3	hsa-miR-126-5p	-0.08	-0.08	N/A
LAMP3	ENST00000265598.3	lysosomal-associated membrane protein 3 	11	1	0	0	1	2	hsa-miR-126-5p	-0.08	-0.08	N/A
GPR151	ENST00000311104.2	G protein-coupled receptor 151 	5	1	0	1	0	3	hsa-miR-126-5p	-0.08	-0.08	N/A
TMEM123	ENST00000361236.3	transmembrane protein 123 	2135	2	0	1	1	4	hsa-miR-126-5p	-0.08	-0.08	N/A
ZNF460	ENST00000360338.3	zinc finger protein 460 	164	5	2	1	2	4	hsa-miR-126-5p	-0.08	-0.10	N/A
ARHGEF28	ENST00000426542.2	Rho guanine nucleotide exchange factor (GEF) 28 	423	1	0	0	1	0	hsa-miR-126-5p	-0.08	-0.08	N/A
NT5C3A	ENST00000610140.1	5'-nucleotidase, cytosolic IIIA 	165	1	0	0	1	0	hsa-miR-126-5p	-0.08	-0.08	N/A
WNT16	ENST00000222462.2	wingless-type MMTV integration site family, member 16 	153	1	0	0	1	1	hsa-miR-126-5p	-0.08	-0.08	N/A
INIP	ENST00000374242.4	INTS3 and NABP interacting protein 	423	1	0	0	1	1	hsa-miR-126-5p	-0.08	-0.08	N/A
MSC	ENST00000325509.4	musculin 	27	1	0	0	1	0	hsa-miR-126-5p	-0.08	-0.08	N/A
HERC6	ENST00000264346.7	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 	18	1	0	0	1	0	hsa-miR-126-5p	-0.08	-0.08	N/A
TM9SF2	ENST00000376387.4	transmembrane 9 superfamily member 2 	5046	1	0	0	1	3	hsa-miR-126-5p	-0.08	-0.10	N/A
EXOSC9	ENST00000512454.1	exosome component 9 	733	1	0	0	1	0	hsa-miR-126-5p	-0.08	-0.17	N/A
FPGT	ENST00000370894.5	fucose-1-phosphate guanylyltransferase 	108	4	1	3	0	4	hsa-miR-126-5p	-0.08	-0.21	N/A
FABP5	ENST00000297258.6	fatty acid binding protein 5 (psoriasis-associated) 	19	1	0	1	0	0	hsa-miR-126-5p	-0.08	-0.11	N/A
OSGIN2	ENST00000451899.2	oxidative stress induced growth inhibitor family member 2 	662	1	0	1	0	3	hsa-miR-126-5p	-0.08	-0.15	N/A
TTC26	ENST00000430935.1	tetratricopeptide repeat domain 26 	211	1	0	0	1	1	hsa-miR-126-5p	-0.08	-0.12	N/A
ELOVL6	ENST00000394607.3	ELOVL fatty acid elongase 6 	901	2	0	0	2	2	hsa-miR-126-5p	-0.08	-0.11	N/A
MAP4K5	ENST00000013125.4	mitogen-activated protein kinase kinase kinase kinase 5 	634	1	0	0	1	0	hsa-miR-126-5p	-0.08	-0.09	N/A
AAK1	ENST00000409085.4	AP2 associated kinase 1 	27	5	1	1	3	7	hsa-miR-126-5p	-0.08	-0.21	N/A
