Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
AP2B1	ENST00000262325.7	adaptor-related protein complex 2, beta 1 subunit 	353	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.37	-0.37	0.68	
ASH1L	ENST00000368346.3	ash1 (absent, small, or homeotic)-like (Drosophila) 	56	1	1	0	0	0	0	0	0	1	hsa-miR-16-5p	-0.37	-0.37	0.86	2007, 2009, 2011
TSPYL2	ENST00000375442.4	TSPY-like 2 	270	1	1	0	0	0	0	0	0	1	hsa-miR-424-5p	-0.37	-0.37	0.80	2005, 2007, 2009, 2011
C17orf59	ENST00000389017.4	chromosome 17 open reading frame 59 	664	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.37	-0.37	0.71	2007, 2009, 2011
ABL2	ENST00000502732.1	c-abl oncogene 2, non-receptor tyrosine kinase 	892	2	0	2	0	1	0	1	0	1	hsa-miR-15a-5p	-0.37	-0.39	0.94	2009, 2011
ZNF362	ENST00000539719.1	zinc finger protein 362 	27	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.37	-0.37	0.83	2005, 2007, 2009, 2011
PTHLH	ENST00000395872.1	parathyroid hormone-like hormone 	32	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.37	-0.37	0.69	2011
SLC10A7	ENST00000264986.3	solute carrier family 10, member 7 	77	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.37	-0.38	< 0.1	
GPATCH8	ENST00000591680.1	G patch domain containing 8 	337	2	0	2	0	0	0	0	0	0	hsa-miR-15b-5p	-0.37	-0.42	0.80	2007, 2009, 2011
GOLGA1	ENST00000373555.4	golgin A1 	334	1	1	0	0	1	0	0	1	1	hsa-miR-497-5p	-0.37	-0.37	0.73	2005, 2007, 2009, 2011
GLS2	ENST00000311966.4	glutaminase 2 (liver, mitochondrial) 	10	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.37	-0.37	0.11	2009, 2011
FKBP1A	ENST00000400137.4	FK506 binding protein 1A, 12kDa 	72	1	0	1	0	0	0	0	0	0	hsa-miR-424-5p	-0.37	-0.37	0.54	2009, 2011
PLAGL1	ENST00000360537.2	pleiomorphic adenoma gene-like 1 	40	1	0	0	1	0	0	0	0	1	hsa-miR-424-5p	-0.36	-0.36	0.77	2005, 2007, 2009, 2011
FSD1	ENST00000597590.1	fibronectin type III and SPRY domain containing 1 	81	1	0	1	0	0	0	0	0	1	hsa-miR-497-5p	-0.36	-0.36	0.69	2005, 2007, 2009, 2011
CHP1	ENST00000334660.5	calcineurin-like EF-hand protein 1 	2051	1	0	1	0	0	0	0	0	2	hsa-miR-15a-5p	-0.36	-0.36	0.60	2011
FKBP1C	ENST00000370659.1	FK506 binding protein 1C 	30	1	0	1	0	0	0	0	0	0	hsa-miR-424-5p	-0.36	-0.36	0.55	
FAM110C	ENST00000327669.4	family with sequence similarity 110, member C 	29	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.36	-0.36	0.75	2011
AC013269.5	ENST00000409259.1	Uncharacterized protein  	5	1	0	1	0	1	0	1	0	1	hsa-miR-15b-5p	-0.36	-0.36	0.53	
PDCD1	ENST00000334409.5	programmed cell death 1 	5	3	0	3	0	0	0	0	0	0	hsa-miR-15b-5p	-0.36	-0.36	0.83	
CLDN2	ENST00000336803.1	claudin 2 	19	1	0	1	0	1	0	1	0	1	hsa-miR-15b-5p	-0.36	-0.36	0.62	2005, 2007, 2009, 2011
HPCAL4	ENST00000372844.3	hippocalcin like 4 	5	1	0	1	0	1	0	1	0	0	hsa-miR-15a-5p	-0.36	-0.36	0.72	2009, 2011
CXCL10	ENST00000306602.1	chemokine (C-X-C motif) ligand 10 	5	1	0	0	1	0	0	0	0	0	hsa-miR-497-5p	-0.36	-0.36	0.66	2007, 2009, 2011
RBBP6	ENST00000319715.4	retinoblastoma binding protein 6 	123	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.36	-0.36	0.66	2005, 2007, 2009, 2011
STX17	ENST00000259400.6	syntaxin 17 	510	1	0	1	0	1	0	1	0	0	hsa-miR-16-5p	-0.36	-0.41	0.67	2009, 2011
KANK1	ENST00000382303.1	KN motif and ankyrin repeat domains 1 	6	1	0	0	1	0	0	0	0	0	hsa-miR-497-5p	-0.36	-0.36	0.81	2005, 2007, 2009, 2011
NAA15	ENST00000296543.5	N(alpha)-acetyltransferase 15, NatA auxiliary subunit 	546	1	0	0	1	1	0	1	0	0	hsa-miR-424-5p	-0.36	-0.38	0.82	2005, 2007, 2009, 2011
NRP2	ENST00000360409.3	neuropilin 2 	146	1	0	1	0	2	0	2	0	0	hsa-miR-15a-5p	-0.36	-0.36	0.76	2005, 2007, 2009, 2011
ZBTB44	ENST00000525842.1	zinc finger and BTB domain containing 44 	236	2	2	0	0	0	0	0	0	0	hsa-miR-16-5p	-0.36	-0.54	0.10	2009, 2011
PPAP2B	ENST00000371250.3	phosphatidic acid phosphatase type 2B 	81	1	0	1	0	1	0	1	0	2	hsa-miR-195-5p	-0.36	-0.38	0.79	2009, 2011
RSBN1	ENST00000261441.5	round spermatid basic protein 1 	54	1	1	0	0	1	0	1	0	0	hsa-miR-16-5p	-0.36	-0.36	0.77	2005, 2007, 2009, 2011
RNF183	ENST00000441031.3	ring finger protein 183 	24	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.36	-0.37	0.44	2011
E2F3	ENST00000346618.3	E2F transcription factor 3 	91	1	1	0	0	0	0	0	0	1	hsa-miR-15a-5p	-0.36	-0.36	0.90	2005, 2007, 2009, 2011
CCDC178	ENST00000581852.1	coiled-coil domain containing 178 	7	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.36	-0.36	0.69	2009, 2011
PPIF	ENST00000394579.3	peptidylprolyl isomerase F 	9304	1	0	1	0	1	0	0	1	0	hsa-miR-497-5p	-0.36	-0.36	0.63	2009
ACVR2A	ENST00000241416.7	activin A receptor, type IIA 	109	3	0	2	1	0	0	0	0	0	hsa-miR-497-5p	-0.36	-0.55	0.98	2007, 2009, 2011
TMED8	ENST00000216468.7	transmembrane emp24 protein transport domain containing 8 	53	1	0	1	0	1	0	1	0	3	hsa-miR-15b-5p	-0.36	-0.39	0.73	
LURAP1L	ENST00000319264.3	leucine rich adaptor protein 1-like 	266	1	0	0	1	1	0	1	0	0	hsa-miR-497-5p	-0.36	-0.52	0.87	2005, 2007, 2009
EXOC3L2	ENST00000252482.3	exocyst complex component 3-like 2 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.35	-0.35	0.75	2007, 2009, 2011
FAM189B	ENST00000350210.2	family with sequence similarity 189, member B 	587	1	0	1	0	1	0	1	0	0	hsa-miR-195-5p	-0.35	-0.35	0.64	2009, 2011
KLHDC8B	ENST00000332780.2	kelch domain containing 8B 	321	1	1	0	0	1	0	1	0	0	hsa-miR-16-5p	-0.35	-0.74	0.71	2009, 2011
ARMCX2	ENST00000330154.2	armadillo repeat containing, X-linked 2 	531	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.35	-0.37	0.58	2005, 2007, 2011
ANLN	ENST00000265748.2	anillin, actin binding protein 	2637	1	0	0	1	0	0	0	0	0	hsa-miR-424-5p	-0.35	-0.35	0.85	2009, 2011
DCUN1D1	ENST00000292782.4	DCN1, defective in cullin neddylation 1, domain containing 1 	267	1	0	1	0	1	0	1	0	3	hsa-miR-15b-5p	-0.35	-0.38	0.76	
CLCN4	ENST00000380833.4	chloride channel, voltage-sensitive 4 	182	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.35	-0.37	0.72	2009, 2011
FAM135A	ENST00000418814.2	family with sequence similarity 135, member A 	611	1	0	0	1	0	0	0	0	0	hsa-miR-15a-5p	-0.35	-0.35	0.79	2005, 2007, 2011
GNAQ	ENST00000286548.4	guanine nucleotide binding protein (G protein), q polypeptide 	47	1	0	1	0	1	0	0	1	1	hsa-miR-15b-5p	-0.35	-0.35	0.61	
PDIA6	ENST00000272227.3	protein disulfide isomerase family A, member 6 	23851	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.35	-0.35	0.69	2005, 2007, 2009, 2011
AVL9	ENST00000318709.4	AVL9 homolog (S. cerevisiase) 	246	2	0	2	0	2	0	0	2	1	hsa-miR-497-5p	-0.35	-0.45	0.74	2005, 2007
ACACB	ENST00000543201.1	acetyl-CoA carboxylase beta 	59	2	0	2	0	1	0	0	1	1	hsa-miR-195-5p	-0.35	-0.38	0.54	
RORB	ENST00000376896.3	RAR-related orphan receptor B 	5	1	1	0	0	2	1	0	1	1	hsa-miR-424-5p	-0.35	-0.35	0.74	
RAP2C	ENST00000342983.2	RAP2C, member of RAS oncogene family 	604	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.35	-0.35	0.65	2005, 2007, 2009, 2011
CAPRIN1	ENST00000341394.4	cell cycle associated protein 1 	650	2	1	1	0	1	0	1	0	0	hsa-miR-497-5p	-0.35	-0.48	0.89	2009, 2011
HOXA10	ENST00000283921.4	homeobox A10 	1910	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.35	-0.38	0.69	2005, 2007, 2009, 2011
BCL7A	ENST00000538010.1	B-cell CLL/lymphoma 7A 	96	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.35	-0.35	0.77	2009, 2011
SVEP1	ENST00000401783.2	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 	154	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.35	-0.35	0.74	2009, 2011
PHACTR4	ENST00000373839.3	phosphatase and actin regulator 4 	85	1	0	1	0	0	0	0	0	1	hsa-miR-424-5p	-0.35	-0.35	0.63	
CEP55	ENST00000371485.3	centrosomal protein 55kDa 	92	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.35	-0.39	0.52	
TAB3	ENST00000378933.1	TGF-beta activated kinase 1/MAP3K7 binding protein 3 	201	1	0	1	0	0	0	0	0	2	hsa-miR-16-5p	-0.35	-0.37	0.68	2007, 2009, 2011
ARL10	ENST00000310389.5	ADP-ribosylation factor-like 10 	236	1	0	1	0	2	0	2	0	5	hsa-miR-15a-5p	-0.35	-0.36	0.75	2007, 2009, 2011
IRAK2	ENST00000256458.4	interleukin-1 receptor-associated kinase 2 	54	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.34	-0.34	0.47	2009, 2011
ELMOD1	ENST00000265840.7	ELMO/CED-12 domain containing 1 	24	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.34	-0.34	0.32	2009, 2011
SLC36A1	ENST00000243389.3	solute carrier family 36 (proton/amino acid symporter), member 1 	236	1	0	1	0	4	0	2	2	1	hsa-miR-195-5p	-0.34	-0.34	0.78	2005, 2007, 2011
USP19	ENST00000398896.1	ubiquitin specific peptidase 19 	323	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.34	-0.36	0.61	2011
SCN3A	ENST00000360093.3	sodium channel, voltage-gated, type III, alpha subunit 	5	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.34	-0.34	0.57	2011
KLF7	ENST00000423015.1	Kruppel-like factor 7 (ubiquitous) 	737	2	0	2	0	0	0	0	0	2	hsa-miR-15a-5p	-0.34	-0.35	0.88	
FNTA	ENST00000302279.3	farnesyltransferase, CAAX box, alpha 	7	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.34	-0.34	0.78	2009, 2011
CLSPN	ENST00000318121.3	claspin 	92	1	0	1	0	2	0	1	1	2	hsa-miR-15a-5p	-0.34	-0.42	0.62	2011
NISCH	ENST00000345716.4	nischarin 	120	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.34	-0.35	0.78	2009, 2011
DPY19L4	ENST00000414645.2	dpy-19-like 4 (C. elegans) 	362	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.34	-0.39	0.57	2009, 2011
ZBTB43	ENST00000449886.1	zinc finger and BTB domain containing 43 	396	1	0	1	0	0	0	0	0	4	hsa-miR-15b-5p	-0.34	-0.34	0.76	2011
ARPP21	ENST00000187397.4	cAMP-regulated phosphoprotein, 21kDa 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.34	-0.34	0.61	2011
C8orf58	ENST00000289989.5	chromosome 8 open reading frame 58 	619	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.34	-0.34	0.46	2007, 2009, 2011
TMEM87B	ENST00000283206.4	transmembrane protein 87B 	219	2	0	2	0	0	0	0	0	0	hsa-miR-15b-5p	-0.34	-0.40	0.86	2007, 2009, 2011
APP	ENST00000346798.3	amyloid beta (A4) precursor protein 	4570	1	0	1	0	0	0	0	0	3	hsa-miR-195-5p	-0.34	-0.40	0.74	2005, 2007
RNF43	ENST00000407977.2	ring finger protein 43 	52	1	0	1	0	1	0	0	1	1	hsa-miR-497-5p	-0.34	-0.34	0.61	2007, 2009, 2011
TCAIM	ENST00000342649.4	T cell activation inhibitor, mitochondrial 	844	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.34	-0.34	0.77	2007, 2009, 2011
LARP1B	ENST00000441387.1	La ribonucleoprotein domain family, member 1B 	32	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.34	-0.34	ORF	
BCL2	ENST00000398117.1	B-cell CLL/lymphoma 2 	55	1	1	0	0	0	0	0	0	3	hsa-miR-195-5p	-0.34	-0.36	0.90	2005, 2007, 2009, 2011
CC2D1B	ENST00000371586.2	coiled-coil and C2 domain containing 1B 	42	1	1	0	0	1	0	1	0	3	hsa-miR-424-5p	-0.34	-0.38	0.89	2007, 2009, 2011
ZBTB39	ENST00000300101.2	zinc finger and BTB domain containing 39 	7	1	1	0	0	1	0	1	0	0	hsa-miR-16-5p	-0.34	-0.34	0.90	2007, 2009, 2011
GALNT1	ENST00000269195.5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1) 	2466	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.34	-0.40	0.73	2009, 2011
ZC3H11A	ENST00000332127.4	zinc finger CCCH-type containing 11A 	71	1	0	0	1	1	0	1	0	0	hsa-miR-424-5p	-0.34	-0.34	0.69	2011
PDIK1L	ENST00000374271.4	PDLIM1 interacting kinase 1 like 	5	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.34	-0.34	0.61	2005, 2007, 2009, 2011
BMPR1A	ENST00000372037.3	bone morphogenetic protein receptor, type IA 	125	1	0	0	1	1	0	1	0	0	hsa-miR-497-5p	-0.34	-0.34	0.89	2011
ZNF275	ENST00000370251.3	zinc finger protein 275 	465	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.34	-0.35	0.68	2011
FAM73B	ENST00000277475.5	family with sequence similarity 73, member B 	651	1	0	0	1	0	0	0	0	3	hsa-miR-15b-5p	-0.34	-0.34	< 0.1	
PVRL1	ENST00000264025.3	poliovirus receptor-related 1 (herpesvirus entry mediator C) 	50	3	1	2	0	1	0	1	0	1	hsa-miR-497-5p	-0.34	-0.41	0.98	2007, 2009, 2011
TMEM178B	ENST00000565468.1	transmembrane protein 178B 	129	1	1	0	0	1	0	1	0	2	hsa-miR-16-5p	-0.34	-0.34	0.87	2011
PRR15L	ENST00000300557.2	proline rich 15-like 	159	1	0	1	0	0	0	0	0	1	hsa-miR-195-5p	-0.34	-0.34	0.52	
YAP1	ENST00000282441.5	Yes-associated protein 1 	1175	1	0	1	0	1	0	0	1	0	hsa-miR-15a-5p	-0.34	-0.41	0.61	2009, 2011
BICD1	ENST00000548411.1	bicaudal D homolog 1 (Drosophila) 	205	1	1	0	0	2	0	1	1	0	hsa-miR-424-5p	-0.34	-0.35	0.50	
PRKAB2	ENST00000254101.3	protein kinase, AMP-activated, beta 2 non-catalytic subunit 	363	1	0	1	0	1	0	1	0	2	hsa-miR-16-5p	-0.33	-0.37	0.58	2009, 2011
CNIH3	ENST00000272133.3	cornichon family AMPA receptor auxiliary protein 3 	28	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.33	-0.34	0.61	2009, 2011
COPS2	ENST00000388901.5	COP9 signalosome subunit 2 	11120	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.33	-0.33	0.76	2005, 2007, 2009, 2011
AP2A1	ENST00000354293.5	adaptor-related protein complex 2, alpha 1 subunit 	285	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.33	-0.33	0.67	2005, 2007, 2009, 2011
NEBL	ENST00000377122.4	nebulette 	181	1	1	0	0	1*	0	0	0	0	hsa-miR-424-5p	-0.33	-0.34	0.79	2011
LATS2	ENST00000382592.4	large tumor suppressor kinase 2 	464	1	0	1	0	0	0	0	0	1	hsa-miR-424-5p	-0.33	-0.33	0.68	2005, 2007, 2009, 2011
ARFGAP2	ENST00000426335.2	ADP-ribosylation factor GTPase activating protein 2 	3549	1	0	1	0	1	0	1	0	0	hsa-miR-497-5p	-0.33	-0.33	0.78	2005, 2007, 2009, 2011
PMM1	ENST00000216259.7	phosphomannomutase 1 	1753	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.33	-0.33	0.61	2009, 2011
NCS1	ENST00000372398.3	neuronal calcium sensor 1 	1083	1	0	1	0	2	0	2	0	2	hsa-miR-16-5p	-0.33	-0.50	0.77	2005, 2007, 2009, 2011
AEBP2	ENST00000266508.9	AE binding protein 2 	1228	1	0	1	0	1	0	1	0	1	hsa-miR-15b-5p	-0.33	-0.58	0.71	2011
RASEF	ENST00000376447.3	RAS and EF-hand domain containing 	298	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.33	-0.33	0.54	
ARHGDIA	ENST00000269321.7	Rho GDP dissociation inhibitor (GDI) alpha 	452	3	0	3	0	2	0	2	0	1	hsa-miR-15b-5p	-0.33	-0.59	0.90	2003, 2005, 2007, 2009, 2011
CUL2	ENST00000374746.1	cullin 2 	27	1	0	1	0	0	0	0	0	0	hsa-miR-424-5p	-0.33	-0.41	0.77	2005, 2007, 2009, 2011
ST8SIA3	ENST00000324000.3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 	5	1	1	0	0	1	0	1	0	0	hsa-miR-497-5p	-0.33	-0.33	0.85	2009, 2011
GRAMD3	ENST00000285689.3	GRAM domain containing 3 	232	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.33	-0.34	0.46	2007, 2009, 2011
HPSE2	ENST00000370546.1	heparanase 2 	12	1	0	1	0	3	0	3	0	1	hsa-miR-195-5p	-0.33	-0.64	0.76	2011
SLC15A4	ENST00000266771.5	solute carrier family 15 (oligopeptide transporter), member 4 	588	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.33	-0.33	0.51	
LIPE	ENST00000244289.4	lipase, hormone-sensitive 	7	2	0	2	0	0	0	0	0	0	hsa-miR-16-5p	-0.33	-0.33	0.85	2009, 2011
CSRNP1	ENST00000273153.5	cysteine-serine-rich nuclear protein 1 	544	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.33	-0.33	0.71	2009, 2011
PAG1	ENST00000220597.4	phosphoprotein associated with glycosphingolipid microdomains 1 	53	1	0	1	0	1	0	1	0	2	hsa-miR-15a-5p	-0.33	-0.33	0.64	2009, 2011
OIP5	ENST00000220514.3	Opa interacting protein 5 	178	1	0	1	0	1	0	1	0	0	hsa-miR-424-5p	-0.33	-0.52	0.81	
POU2F1	ENST00000367866.2	POU class 2 homeobox 1 	83	2	1	1	0	2	0	2	0	4	hsa-miR-424-5p	-0.33	-0.35	0.95	2011
BTN1A1	ENST00000244513.6	butyrophilin, subfamily 1, member A1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.33	-0.33	0.60	
ABCG4	ENST00000307417.3	ATP-binding cassette, sub-family G (WHITE), member 4 	5	1	0	1	0	1	0	0	1	1	hsa-miR-15b-5p	-0.33	-0.33	0.49	2005, 2007, 2009, 2011
MAP4	ENST00000383737.4	microtubule-associated protein 4 	3914	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.33	-0.33	0.66	2011
ATXN7L3B	ENST00000519948.2	ataxin 7-like 3B 	55	2	0	2	0	0	0	0	0	1	hsa-miR-15b-5p	-0.33	-0.37	0.86	2011
RAF1	ENST00000251849.4	v-raf-1 murine leukemia viral oncogene homolog 1 	2422	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.33	-0.33	0.88	2011
WNT4	ENST00000290167.6	wingless-type MMTV integration site family, member 4 	5	1	1	0	0	0	0	0	0	1	hsa-miR-497-5p	-0.33	-0.33	0.88	2009, 2011
AMMECR1L	ENST00000272647.5	AMMECR1-like 	21	1	0	1	0	1	0	1	0	1	hsa-miR-195-5p	-0.33	-0.33	0.63	2011
SYT10	ENST00000228567.3	synaptotagmin X 	5	1	1	0	0	0	0	0	0	0	hsa-miR-16-5p	-0.33	-0.33	< 0.1	2009, 2011
CTDSP2	ENST00000398073.2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2 	991	1	0	1	0	1	0	0	1	2	hsa-miR-15a-5p	-0.32	-0.35	0.54	2011
UHMK1	ENST00000538489.1	U2AF homology motif (UHM) kinase 1 	48	1	1	0	0	2	1	0	1	1	hsa-miR-497-5p	-0.32	-0.47	0.93	2011
PCDHA12	ENST00000398631.2	protocadherin alpha 12 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2005, 2007, 2009, 2011
PCDHA7	ENST00000525929.1	protocadherin alpha 7 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2005, 2007, 2009, 2011
PCDHA5	ENST00000529859.1	protocadherin alpha 5 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2005, 2007, 2009, 2011
G2E3	ENST00000206595.6	G2/M-phase specific E3 ubiquitin protein ligase 	286	1	0	0	1	0	0	0	0	0	hsa-miR-16-5p	-0.32	-0.32	0.86	2005, 2007, 2009, 2011
ANKS1A	ENST00000360359.3	ankyrin repeat and sterile alpha motif domain containing 1A 	220	1	0	0	1	2	0	2	0	2	hsa-miR-15b-5p	-0.32	-0.32	0.81	2009, 2011
EIF4B	ENST00000262056.9	eukaryotic translation initiation factor 4B 	37	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.32	-0.32	0.75	2005, 2007, 2009, 2011
PPM1H	ENST00000228705.6	protein phosphatase, Mg2+/Mn2+ dependent, 1H 	45	1	0	0	1	1	0	1	0	0	hsa-miR-424-5p	-0.32	-0.34	0.87	2009, 2011
PRDM4	ENST00000228437.5	PR domain containing 4 	44	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.46	0.90	2005, 2007, 2009, 2011
PCDHA1	ENST00000504120.2	protocadherin alpha 1 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2005, 2007, 2009, 2011
PCDHA2	ENST00000526136.1	protocadherin alpha 2 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2005, 2007, 2009, 2011
PCDHA4	ENST00000530339.1	protocadherin alpha 4 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2005, 2007, 2009, 2011
PCDHA9	ENST00000532602.1	protocadherin alpha 9 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2011
PCDHA10	ENST00000307360.5	protocadherin alpha 10 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2005, 2007, 2009, 2011
PCDHA6	ENST00000529310.1	protocadherin alpha 6 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2005, 2007, 2009, 2011
PCDHA8	ENST00000531613.1	protocadherin alpha 8 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2005, 2007, 2009, 2011
PCDHA13	ENST00000289272.2	protocadherin alpha 13 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2005, 2007, 2009, 2011
TAF15	ENST00000588240.1	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa 	225	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.32	-0.32	< 0.1	2011
FOSL1	ENST00000532401.1	FOS-like antigen 1 	276	1	0	0	1	0	0	0	0	0	hsa-miR-497-5p	-0.32	-0.33	0.77	2005, 2007, 2009, 2011
ATXN1L	ENST00000427980.2	ataxin 1-like 	12	1	0	1	0	2	0	2	0	1	hsa-miR-15b-5p	-0.32	-0.32	0.87	2011
PCDHAC1	ENST00000253807.2	protocadherin alpha subfamily C, 1 	86	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.32	0.87	2005, 2007, 2009, 2011
CCDC42B	ENST00000335621.6	coiled-coil domain containing 42B 	5	1	0	1	0	0	0	0	0	3	hsa-miR-15a-5p	-0.32	-0.32	< 0.1	
CPD	ENST00000225719.4	carboxypeptidase D 	1766	2	0	2	0	0	0	0	0	0	hsa-miR-497-5p	-0.32	-0.33	0.96	2005, 2007, 2009, 2011
GATAD2A	ENST00000360315.3	GATA zinc finger domain containing 2A 	986	2	0	2	0	0	0	0	0	1	hsa-miR-15b-5p	-0.32	-0.42	0.90	2007, 2009, 2011
TSPAN5	ENST00000305798.3	tetraspanin 5 	107	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.32	-0.32	0.75	2007, 2009, 2011
PPP6C	ENST00000373547.4	protein phosphatase 6, catalytic subunit 	346	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.32	-0.33	0.76	2005, 2007, 2009, 2011
CD163	ENST00000541972.1	CD163 molecule 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.32	-0.32	0.52	2009, 2011
ZC2HC1A	ENST00000263849.4	zinc finger, C2HC-type containing 1A 	176	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.32	-0.32	0.46	2011
CASK	ENST00000421587.2	calcium/calmodulin-dependent serine protein kinase (MAGUK family) 	892	1	0	1	0	8	1	5	2	0	hsa-miR-15a-5p	-0.32	-0.56	0.95	2011
YTHDC1	ENST00000344157.4	YTH domain containing 1 	307	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.32	-0.45	0.90	2007, 2009, 2011
VMA21	ENST00000330374.6	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae) 	2162	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.32	-0.32	0.65	2007, 2009, 2011
PPP2R5C	ENST00000422945.2	protein phosphatase 2, regulatory subunit B', gamma 	1584	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.32	-0.32	0.75	2005, 2007, 2009, 2011
LCOR	ENST00000371103.3	ligand dependent nuclear receptor corepressor 	94	1	0	1	0	1	0	0	1	1	hsa-miR-424-5p	-0.32	-0.34	0.63	2011
SPSB4	ENST00000310546.2	splA/ryanodine receptor domain and SOCS box containing 4 	419	2	0	2	0	0	0	0	0	0	hsa-miR-15a-5p	-0.32	-0.32	0.92	2007, 2009, 2011
